c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,class
0.284,0.813,0.749,0.291,0.384,0.154,0.396,0.518,0.404,0.173,0.567,0.275,0.261,0.444,0.898,0.226,0.774,0.772,0.906,0.536,0.518,0.311,0.202,0.836,0
0,0.9,0.82,0.214,0.307,0.169,0.38,0.369,0.436,0.275,0.633,0.314,0.266,0.333,0.902,0.281,0.851,0.832,0.933,0.454,0.437,0.083,0.112,0.815,0
0.264,0.807,0.457,0.398,0.184,0.372,0.498,0.447,0.504,0.342,0.567,0.118,0.318,0.222,0.702,0.692,0.43,0.367,0.647,0.646,0.633,0.575,0.235,0.644,1
0.475,0.671,0.423,0.397,0.287,0.398,0.649,0.478,0.466,0.306,0.4,0.255,0.434,0.111,0.649,0.19,0.26,0.248,0.544,0.898,0.883,0.746,0.274,0.601,1
0.39,0.767,0.557,0.214,0.555,0.287,0.554,0.457,0.397,0.176,0.233,0.49,0.451,0.333,0.769,0.089,0.463,0.428,0.708,0.815,0.796,0.492,0.232,0.71,1
0.288,0.847,0.56,0.179,0.29,0.263,0.459,0.424,0.332,0.184,0.267,0.51,0.29,0.333,0.808,0.164,0.554,0.514,0.769,0.675,0.658,0.575,0.255,0.778,1
0.373,0.909,0.75,0.297,0.587,0.161,0.537,0.409,0.467,0.3,0.4,0.51,0.48,0.333,0.911,0.132,0.645,0.705,0.871,0.508,0.49,0.254,0.169,0.862,1
0.317,0.902,0.555,0.416,0.293,0.357,0.716,0.617,0.546,0.167,0.467,0.176,0.399,0.111,0.735,0.485,0.312,0.342,0.626,0.629,0.615,0.697,0.261,0.66,1
0.275,0.97,0.436,0.45,0.447,0.353,0.671,0.498,0.638,0.328,0.067,1,1,0.333,0.752,0.004,0.251,0.314,0.613,0.618,0.604,0.722,0.254,0.662,0
0.237,1,0.393,0.399,0.183,0.403,0.418,0.675,0.62,0.087,0.4,0.137,0.323,0.333,0.714,0.852,0.448,0.4,0.659,0.428,0.42,0.106,0.073,0.534,0
0.233,0.736,0.432,0.266,0.36,0.472,0.57,0.599,0.391,0.062,0.333,0.176,0.243,0.111,0.597,0.228,0.341,0.235,0.532,0.619,0.611,0.795,0.283,0.471,1
0.364,0.852,0.382,0.15,0.316,0.444,0.423,0.44,0.342,0.143,0.167,0.549,0.531,0.222,0.646,0.07,0.434,0.304,0.606,0.571,0.561,0.713,0.235,0.534,1
0.341,0.796,0.442,0.452,0.221,0.316,0.465,0.568,0.536,0.252,0.267,0.373,0.451,0.333,0.749,0.458,0.447,0.409,0.686,0.412,0.402,0.049,0.095,0.585,1
0.288,0.769,0.322,0.198,0.266,0.449,0.586,0.577,0.315,0.029,0.3,0.196,0.589,0.222,0.624,0.352,0.232,0.218,0.511,0.531,0.524,0.665,0.241,0.527,1
0.317,0.63,0.253,0.175,0.227,0.565,0.549,0.549,0.27,0.042,0.4,0.137,0.307,0.222,0.491,0.496,0.207,0.145,0.406,0.674,0.669,0.624,0.228,0.407,1
0.293,0.625,0.215,0.214,0.301,0.556,0.702,0.512,0.326,0.115,0.1,0.51,0.567,0.333,0.498,0.14,0.033,0.101,0.327,0.691,0.685,0.754,0.258,0.412,1
0.37,0.517,0.316,0.309,0.226,0.501,0.554,0.453,0.362,0.261,0.2,0.373,0.462,0.222,0.525,0.534,0.256,0.171,0.44,0.52,0.517,0.033,0.047,0.399,1
0.457,0.425,0.115,0.132,0.164,0.682,0.503,0.548,0.222,0.007,0.367,0.039,0.491,0.222,0.343,0.603,0.131,0.072,0.26,0.736,0.735,0.764,0.274,0.288,1
0.514,0.53,0.16,0.156,0.269,0.611,0.477,0.531,0.221,0.045,0.367,0.157,0.52,0.222,0.429,0.293,0.194,0.114,0.349,0.791,0.786,0.705,0.252,0.354,1
0.537,0.506,0.315,0.298,0.348,0.598,0.22,0.487,0.369,0.214,0.033,0.529,0.462,0.222,0.436,0.106,0.565,0.197,0.481,0.799,0.794,0.516,0.138,0.292,1
0.277,0.535,0.34,0.282,0.455,0.468,0.422,0.411,0.446,0.285,0,0.725,0.693,0.222,0.558,0.171,0.4,0.233,0.529,0.654,0.646,0.754,0.244,0.429,1
0.439,0.61,0.354,0.307,0.232,0.484,0.467,0.546,0.466,0.155,0.267,0.235,0.248,0.111,0.559,0.515,0.37,0.242,0.517,0.487,0.482,0.606,0.163,0.387,1
0.31,0.529,0.318,0.091,0.181,0.558,0.247,0.513,0.211,0.011,0.2,0.196,0.104,0.111,0.476,0.338,0.543,0.215,0.503,0.568,0.566,0.614,0.213,0.379,1
0.381,0.494,0.338,0.138,0.245,0.6,0.358,0.507,0.25,0.057,0.133,0.333,0.232,0.111,0.432,0.316,0.457,0.174,0.451,0.749,0.744,0.541,0.205,0.314,1
0.309,0.598,0.487,0.298,0.326,0.443,0.12,0.506,0.378,0.192,0.1,0.451,0.491,0.111,0.594,0.406,0.805,0.388,0.676,0.583,0.575,0.319,0.102,0.43,1
0.461,0.734,0.44,0.243,0.426,0.602,0.44,0.484,0.362,0.17,0.267,0.176,0.295,0.111,0.48,0.322,0.468,0.205,0.489,0.797,0.79,0.624,0.209,0.39,1
0.364,0.717,0.328,0.285,0.389,0.564,0.399,0.353,0.555,0.352,0.033,0.725,0.717,0.222,0.51,0.046,0.41,0.203,0.493,0.72,0.714,0.738,0.237,0.354,1
0.37,0.692,0.44,0.39,0.41,0.404,0.317,0.308,0.686,0.491,0.067,0.647,0.63,0.444,0.648,0.217,0.582,0.366,0.656,0.639,0.629,0.409,0.15,0.486,1
0.43,0.594,0.226,0.261,0.228,0.639,0.606,0.63,0.397,0.023,0.367,0.098,0.047,0,0.418,0.727,0.131,0.098,0.318,0.807,0.803,0.746,0.241,0.351,1
0.302,0.368,0.212,0.15,0.208,0.679,0.709,0.566,0.233,0.001,0.4,0.118,0.087,0.111,0.334,0.614,0.024,0.049,0.199,0.893,0.89,0.73,0.232,0.231,0
0.182,0.439,0.248,0.141,0.247,0.612,0.104,0.454,0.312,0.119,0.1,0.529,0.456,0.111,0.409,0.09,0.614,0.195,0.46,0.916,0.909,0.591,0.211,0.295,0
0.225,0.473,0.368,0.191,0.287,0.433,0.289,0.426,0.368,0.192,0.133,0.333,0.307,0.222,0.576,0.408,0.546,0.29,0.588,0.742,0.733,0.713,0.226,0.398,1
0.494,0.511,0.617,0.394,0.654,0.413,0.357,0.318,0.659,0.483,0.2,0.412,0.613,0.333,0.602,0.224,0.697,0.368,0.655,0.626,0.617,0.409,0.147,0.467,1
0.377,0.516,0.28,0.108,0.208,0.72,0.61,0.519,0.221,0.02,0.4,0.059,0.047,0.111,0.329,0.855,0.174,0.078,0.273,0.668,0.669,0.754,0.238,0.243,1
0.405,0.555,0.318,0.086,0.297,0.714,0.341,0.442,0.27,0.087,0.133,0.294,0.162,0.111,0.342,0.207,0.455,0.132,0.368,0.617,0.618,0.754,0.23,0.271,1
0.359,0.585,0.376,0.185,0.387,0.534,0.105,0.325,0.399,0.3,0.067,0.431,0.376,0.111,0.509,0.309,0.724,0.286,0.583,0.591,0.587,0.632,0.202,0.322,0
0.223,0.537,0.334,0.301,0.328,0.644,0.465,0.474,0.342,0.23,0.267,0.157,0.221,0.111,0.401,0.652,0.355,0.142,0.39,0.67,0.668,0.632,0.211,0.292,1
0.361,0.496,0.307,0.167,0.376,0.698,0.583,0.445,0.307,0.151,0.133,0.412,0.295,0.222,0.344,0.13,0.222,0.09,0.303,0.647,0.648,0.746,0.231,0.251,1
0.313,0.516,0.369,0.161,0.45,0.544,0.448,0.354,0.388,0.248,0.033,0.51,0.498,0.222,0.486,0.187,0.4,0.189,0.467,0.461,0.461,0.624,0.204,0.298,1
0.348,0.644,0.342,0.239,0.323,0.61,0.394,0.493,0.478,0.156,0.333,0.098,0.179,0.222,0.454,0.834,0.427,0.203,0.453,0.407,0.409,0.417,0.127,0.291,0
0.257,0.513,0.09,0.181,0.211,0.89,0.3,0.545,0.279,0.051,0.233,0.02,0.075,0.111,0.175,0.855,0.297,0.051,0.207,0.761,0.766,0.754,0.225,0.089,1
0.339,0.355,0.196,0.207,0.284,0.857,0.447,0.522,0.297,0.098,0.233,0.118,0.151,0.222,0.172,0.451,0.252,0.045,0.188,0.93,0.932,0.746,0.233,0.095,1
0.375,0.257,0.234,0.287,0.509,0.807,0.615,0.543,0.345,0.142,0.2,0.275,0.272,0.222,0.196,0.285,0.129,0.035,0.156,1,1,0.738,0.23,0.116,0
0.257,0.237,0.241,0.379,0.316,0.723,0.468,0.331,0.623,0.456,0,0.686,0.867,0.222,0.267,0.065,0.272,0.072,0.265,0.917,0.916,0.409,0.146,0.157,0
